Question,Prediction,Reference,ExactMatch,F1Score
Who was the man behind The Chipmunks?,david seville,david seville,1.0,1.0
Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,sunset boulevard,1.0,1.0
Who was the next British Prime Minister after Arthur Balfour?,campbellbannerman,henry campbell bannerman,0.0,0.0
Who had a 70s No 1 hit with Kiss You All Over?,exile,exiles,0.0,0.0
What claimed the life of singer Kathleen Ferrier?,cancer,aids related cancer,0.0,0.5
Rita Coolidge sang the title song for which Bond film?,octopussy,list of bond girls in octopussy,0.0,0.2857142857142857
What was the last US state to reintroduce alcohol after prohibition?,utah,history of mining in utah,0.0,0.33333333333333337
Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,lauren becall,0.0,0.5
What is the Japanese share index called?,nikkei,nikkei disambiguation,0.0,0.6666666666666666
What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,moon walk,0.0,0.0
In which decade did stereo records first go on sale?,1930s,1930–1939,0.0,0.0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,in 1912 in stockholm,in 1912 in stockholm,1.0,0.75
Which volcano in Tanzania is the highest mountain in Africa?,kilimanjaro,mawensi,0.0,0.0
The flag of Libya is a plain rectangle of which color?,green,greenishness,0.0,0.0
Of which African country is Niamey the capital?,niger,niger,1.0,1.0
Who was the director of the CIA from 1976-81?,george bush,georgebush,0.0,0.0
Which musical featured the song The Street Where You Live?,my fair lady,my fair lady musical,0.0,0.8571428571428571
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",hitler,hitler s medical health,0.0,0.4
Who had an 80s No 1 hit with Hold On To The Nights?,richard marx,richard marx,1.0,1.0
Who directed the classic 30s western Stagecoach?,john ford,john ford 1895 1973,0.0,0.6666666666666666
Dave Gilmore and Roger Waters were in which rock group?,pink floyd,screaming abdabs,0.0,0.0
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,61,1.0,1.0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,rumania,danubian carpathian area,0.0,0.0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,wild palms,wild palms,1.0,1.0
If I Were A Rich Man Was a big hit from which stage show?,fiddler on roof,fiddler on roof,1.0,1.0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,mutiny on bounty,mutiny on bounty history,0.0,0.8571428571428571
What was Truman Capote's last name before he was adopted by his stepfather?,persons,personhood theory,0.0,0.0
